source_site,source_url,brand,model_name,model_code,printer_type,retail_status,first_seen_date,last_seen_date,notes
Master DB,,Canon,MAXIFY GX6040,MAXIFYGX6040,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX6050,MAXIFYGX6050,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX6060,MAXIFYGX6060,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX7040,MAXIFYGX7040,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX7050,MAXIFYGX7050,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX7060,MAXIFYGX7060,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G1010,PIXMAG1010,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G1410,PIXMAG1410,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G1420,PIXMAG1420,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2010,PIXMAG2010,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2410,PIXMAG2410,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2420,PIXMAG2420,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2460,PIXMAG2460,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2511,PIXMAG2511,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3010,PIXMAG3010,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3410,PIXMAG3410,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3420,PIXMAG3420,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3460,PIXMAG3460,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3511,PIXMAG3511,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G4511,PIXMAG4511,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G5040,PIXMAG5040,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G550,PIXMAG550,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G6040,PIXMAG6040,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G6050,PIXMAG6050,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G650,PIXMAG650,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G7040,PIXMAG7040,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G7050,PIXMAG7050,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA GM2040,PIXMAGM2040,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA GM4040,PIXMAGM4040,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-1510,BROTHERDCP1510,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-1512,BROTHERDCP1512,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-J125,BROTHERDCPJ125,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-J140W,BROTHERDCPJ140W,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-J315W,BROTHERDCPJ315W,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-J4120DW,BROTHERDCPJ4120DW,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-J515W,BROTHERDCPJ515W,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L2500D,BROTHERDCPL2500D,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L2510D,BROTHERDCPL2510D,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L2520DW,BROTHERDCPL2520DW,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L2530DW,BROTHERDCPL2530DW,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L2535DW,BROTHERDCPL2535DW,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L2540DW,BROTHERDCPL2540DW,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L2550DW,BROTHERDCPL2550DW,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L3510CDW,BROTHERDCPL3510CDW,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L3550CDW,BROTHERDCPL3550CDW,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L3551CDW,BROTHERDCPL3551CDW,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L5500DN,BROTHERDCPL5500DN,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Brother,Brother DCP-L5510DN,BROTHERDCPL5510DN,,active,2026-03-30,2026-03-30,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
