source_name,source_url,brand,model_name,model_code,consumable_code,consumable_family,consumable_type,color,confidence,notes
Master DB,,Canon,MAXIFY GX6040,MAXIFYGX6040,GI-46,GI-46,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX6050,MAXIFYGX6050,GI-56,GI-56,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX6060,MAXIFYGX6060,GI-56,GI-56,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX7040,MAXIFYGX7040,GI-46,GI-46,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX7050,MAXIFYGX7050,GI-56,GI-56,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,MAXIFY GX7060,MAXIFYGX7060,GI-56,GI-56,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G1010,PIXMAG1010,GI-590,GI-590,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G1410,PIXMAG1410,GI-490,GI-490,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G1420,PIXMAG1420,GI-41,GI-41,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2010,PIXMAG2010,GI-590,GI-590,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2410,PIXMAG2410,GI-490,GI-490,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2420,PIXMAG2420,GI-41,GI-41,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2460,PIXMAG2460,GI-41,GI-41,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G2511,PIXMAG2511,GI-790,GI-790,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3010,PIXMAG3010,GI-590,GI-590,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3410,PIXMAG3410,GI-490,GI-490,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3420,PIXMAG3420,GI-41,GI-41,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3460,PIXMAG3460,GI-41,GI-41,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
Master DB,,Canon,PIXMA G3511,PIXMAG3511,GI-790,GI-790,INK BOTTLE,,official,Imported from MASTER_DATABASE_WITH_SUPPLIER_EQUIVALENTS_CLEAN.xlsx
